timestamp,temperature_c,humidity_percent,pressure_pa,gas_ppm,radiation_uSv_h,battery_voltage_v,solar_current_ma,cpu_temp_c,vibration_mms,satellite_mode,region,fault_flag,battery_voltage_next,altitude_m,magnetic_field_uT,solar_panel_temp_c,gyro_stability_index
2025-01-01 00:00:00,21.83,31.41,100495.9,,0.087,7.631,443.92,30.52,2.527,,EUROPE,NO,8.492,399833.62661902275,,41.10520695268846,0.2115569724590461
2025-01-01 00:00:01,13.76,37.19,101770.6,344.31,0.0619,6.847,312.65,50.26,2.523,ACTIVE,AFRICA,YES,7.433,400466.9594467348,44.358009640625426,23.39659603839964,0.2106361521305094
2025-01-01 00:00:02,24.5,18.22,101295.98,188.44,0.1733,7.328,533.32,47.6,2.344,,AMERICA,NO,,400204.9910274632,47.14522517261642,,0.41480660756258214
2025-01-01 00:00:03,25.64,27.72,101025.05,264.16,,7.073,228.89,39.94,3.353,ACTIVE,ASIA,NO,7.518,400295.22192111996,47.505117724869436,,0.8468810503934431
,8.29,,101199.59,320.7,0.0,8.259,148.3,35.75,1.69,,AMERICA,NO,8.562,399774.28742734,,12.736426803586312,0.2741138704785046
2025-01-01 00:00:05,12.19,30.52,101843.39,299.37,0.0589,7.099,118.5,47.71,1.7,IDLE,ASIA,YES,7.343,400040.52022703446,37.77378731146563,8.047670881732895,0.5332004921805829
2025-01-01 00:00:06,20.77,41.74,101690.62,437.23,0.1679,6.951,445.39,41.26,1.473,SAFE,AMERICA,YES,7.824,399853.5818437616,47.89904498582733,-1.6426651400407124,0.4534100286948701
2025-01-01 00:00:07,18.1,17.39,101261.04,261.46,0.1449,6.569,266.47,51.33,3.952,ACTIVE,EUROPE,NO,7.056,400316.8419184049,55.56794216854926,28.097023135477702,0.2817292468883925
2025-01-01 00:00:08,19.9,16.48,100755.45,53.6,0.1219,7.089,333.16,40.39,3.228,SAFE,AMERICA,NO,7.728,400099.8517245842,48.00664220241826,50.71626246244291,0.4280164929465866
2025-01-01 00:00:09,14.88,36.16,100790.73,147.71,,7.437,481.32,41.6,1.517,,EUROPE,NO,,399954.2061453657,50.85331067149834,,0.5001249357449805
,25.28,36.93,101701.52,347.86,0.049,7.726,389.45,53.87,1.036,SAFE,AFRICA,NO,8.461,399868.2279387221,48.29221436897745,30.296563964757656,0.5552071250571571
,24.67,28.45,100686.13,279.58,0.1084,7.079,207.67,36.78,1.841,SAFE,ASIA,NO,7.493,400134.4901529835,49.280252419337,34.04271323348708,
2025-01-01 00:00:12,,33.2,101265.92,201.6,0.1863,7.751,544.9,33.36,,ACTIVE,ASIA,NO,8.875,400072.03176460724,38.02472546147716,26.23262600997896,0.6819369218352385
2025-01-01 00:00:13,26.76,,102665.54,585.01,0.1045,7.381,,37.52,2.204,IDLE,AMERICA,NO,8.015,399935.3760649254,40.934304167894716,,0.3936191800845844
2025-01-01 00:00:14,22.81,23.49,101554.78,,0.1719,7.254,342.45,46.93,0.769,IDLE,EUROPE,NO,7.928,399849.54065642785,50.97473489350206,33.42021583572683,
2025-01-01 00:00:15,14.84,24.35,101696.12,342.99,0.0698,7.452,264.46,60.29,1.408,IDLE,EUROPE,NO,7.984,,49.33605455147872,25.486570465520032,0.8851027944309597
2025-01-01 00:00:16,22.21,31.52,100794.48,378.0,0.0923,7.825,216.12,46.22,2.972,SAFE,EUROPE,YES,8.248,399992.4227487364,43.51393647492614,5.722668888573875,0.5095907791784506
,14.25,37.23,100711.35,318.18,0.0252,,377.64,38.03,2.49,IDLE,AMERICA,NO,8.148,,46.03289259290165,35.021751824979276,0.31409572550301845
2025-01-01 00:00:18,25.27,20.67,101722.91,199.54,,7.068,177.03,,1.441,IDLE,EUROPE,NO,,400044.62293293653,49.81302920876118,17.353533159114164,0.7708721073930609
2025-01-01 00:00:19,19.7,28.42,101183.82,,0.1167,7.527,340.03,48.28,2.774,SAFE,ASIA,NO,8.167,400148.77609289443,46.61993467321621,17.096374485522446,0.17228301891979325
,18.89,,101911.81,452.16,0.1815,7.522,540.25,31.13,2.782,IDLE,AMERICA,NO,8.565,,50.00354414736736,22.144020582059106,0.5569544751359747
2025-01-01 00:00:21,15.91,33.34,101396.57,112.72,0.142,7.343,440.15,29.95,3.779,SAFE,AFRICA,NO,8.209,400131.06965736154,43.366545869450775,25.445039183680986,
2025-01-01 00:00:22,27.34,,103103.18,377.17,0.2312,7.706,374.36,46.57,1.827,SAFE,EUROPE,NO,8.422,399824.6235812498,50.53298599898881,34.033387937380795,0.0556513145188976
